Date,price,sma_10,sma_20,sma_50,ema_20,rsi_14,volatility_index,daily_return,sentiment,target_price
2025-04-23,3276.300048828125,3257.6,3157.6949829101563,3028.537998046875,3184.687662717429,58.080579735801585,108.92979486541068,-0.03660903264303972,0.2843087310553136,3305.0
2025-04-24,3332.0,3285.15,3173.2499877929686,3036.927998046875,3198.7174091252928,63.71382198702247,84.52180973294091,0.017000869988021305,0.46223175714757014,3210.0
2025-04-25,3282.39990234375,3297.8699951171875,3184.3599853515625,3044.39599609375,3206.6871703841935,66.45969895858288,71.33488469781646,-0.014885983690351101,0.12443364393164669,3231.89990234375
2025-04-28,3332.5,3308.9,3196.6599853515627,3052.527998046875,3218.669344633318,73.5076423418348,66.71220410090399,0.015263252238240987,0.3490973981563581,3311.300048828125
2025-04-29,3318.800048828125,3320.3,3206.4599853515624,3061.2319970703124,3228.2056021756803,71.69928677930677,55.79354275343878,-0.0041110131048387455,-0.37869867921835054,3411.39990234375
2025-04-30,3305.0,3328.9300048828127,3215.764990234375,3068.6999951171874,3235.5193543494247,66.9485722887273,43.69467924913982,-0.004158144095784855,0.07759628047823641,3381.39990234375
2025-05-01,3210.0,3317.2699951171876,3219.2699951171876,3074.5119970703126,3233.0889396494795,53.75651479453733,57.69881981131171,-0.02874432677760963,0.048856462877534756,3296.60009765625
2025-05-02,3231.89990234375,3309.589990234375,3226.014990234375,3080.3499951171875,3232.9756980013144,50.708749852384656,63.7592403808479,0.006822399484034181,-0.4538644230292592,3335.39990234375
2025-05-05,3311.300048828125,3300.1,3240.9799926757814,3087.823994140625,3240.43515998482,57.13519752058168,54.11511106176916,0.024567637885936522,0.4648232068848889,3220.0
2025-05-06,3411.39990234375,3301.1599853515627,3263.9849853515625,3097.093994140625,3256.717516399956,61.57356724686584,56.363837840838144,0.03022977442079,0.08943816603805488,3240.300048828125
2025-05-07,3381.39990234375,3311.669970703125,3284.6349853515626,3106.6319921875,3268.592029346984,53.63104940336646,60.83472131694882,-0.008794043752944014,0.019503267841330496,3181.39990234375
2025-05-08,3296.60009765625,3308.12998046875,3296.639990234375,3114.2279931640624,3271.259464424057,49.26355099747003,60.549562374086044,-0.025078312869389552,-0.17971944058601208,3220.699951171875
2025-05-09,3335.39990234375,3313.42998046875,3305.6499877929687,3123.2719921875,3277.368077559266,45.359197062373354,60.3664340617549,0.011769642522029056,-0.29961538825027334,3182.0
2025-05-12,3220.0,3302.17998046875,3305.539990234375,3130.9359912109376,3271.90445112505,39.642521777002266,66.58063436954475,-0.03459852063396052,0.4305618921350759,3228.89990234375
2025-05-13,3240.300048828125,3294.32998046875,3307.314990234375,3137.9379931640624,3268.8945080491526,47.6580784350597,68.9875207113073,0.0063043629901009535,-0.466254626485876,3280.300048828125
2025-05-14,3181.39990234375,3281.969970703125,3305.449987792969,3143.3739892578124,3260.5616884581623,40.243577625856766,77.42032243933538,-0.01817737419276233,0.16824043401203181,3309.300048828125
2025-05-15,3220.699951171875,3283.0399658203123,3300.15498046875,3149.4819873046877,3256.765332526135,45.94878719939675,76.38211443811736,0.012353067842610033,0.022835646468308157,3292.300048828125
2025-05-16,3182.0,3278.0499755859373,3293.8199829101563,3154.7899853515623,3249.644824666503,39.967999041793924,81.54945004891927,-0.012016006383268829,0.1380670313170943,3363.60009765625
2025-05-19,3228.89990234375,3269.8099609375,3284.95498046875,3161.273984375,3247.669117778622,44.26144536442676,81.9783163366779,0.01473912707220304,0.13412718428927894,3299.10009765625
2025-05-20,3280.300048828125,3256.6999755859374,3278.92998046875,3169.0599853515623,3250.776825497622,48.49555600827384,65.68241132898888,0.015918779782261305,0.10282572023816172,3293.60009765625
2025-05-21,3309.300048828125,3249.489990234375,3280.57998046875,3176.98798828125,3256.350465814813,56.577036282178696,53.25459761674927,0.008840654686561367,0.39471507558798236,3317.10009765625
2025-05-22,3292.300048828125,3249.0599853515623,3278.5949829101564,3184.0519873046874,3259.7742356256044,54.02667774305915,52.84774709736576,-0.0051370379685032885,-0.07316571775468161,3288.89990234375
2025-05-23,3363.60009765625,3251.8800048828125,3282.654992675781,3191.63798828125,3269.6624129618563,53.524738706228504,58.42496642740476,0.021656607165408293,-0.48216625379194455,3370.60009765625
2025-05-27,3299.10009765625,3259.7900146484376,3280.984997558594,3197.729990234375,3272.46600198037,42.05013197354723,58.98117423162435,-0.0191758824257805,-0.04858067377455,3350.199951171875
2025-05-28,3293.60009765625,3265.12001953125,3279.725,3203.6019921875,3274.478772997121,43.56117410977093,59.43080350615137,-0.0016671212867737095,0.2698322300864684,3373.5
2025-05-29,3317.10009765625,3278.6900390625,3280.3300048828123,3209.2419921875,3278.5379467741805,51.651893634165994,53.37456723497477,0.007135049581982633,-0.3225345740858001,3350.699951171875
2025-05-30,3288.89990234375,3285.5100341796874,3284.275,3214.3019921875,3279.524799685568,46.18790209723027,49.34669585737458,-0.008501460457109866,-0.32606860014712447,3322.699951171875
2025-06-02,3370.60009765625,3304.3700439453123,3291.210009765625,3220.913994140625,3288.1986375875376,63.06837200512855,40.66784092748886,0.024841192416430236,0.4684199645416496,3332.10009765625
2025-06-03,3350.199951171875,3316.500048828125,3293.1550048828126,3227.553994140625,3294.10352459557,59.53494302969505,33.0288216054405,-0.006052378179944973,-0.16348611803548985,3320.89990234375
2025-06-04,3373.5,3325.8200439453126,3291.260009765625,3234.7619921875,3301.665093681706,67.76399618911731,34.78195389941266,0.006954823344193173,0.4443127014423953,3321.300048828125
2025-06-05,3350.699951171875,3329.9600341796877,3289.7250122070313,3241.3019921875,3306.335080109341,62.399831216239754,35.05989035774021,-0.0067585738337409,0.008029982965437554,3380.89990234375
2025-06-06,3322.699951171875,3333.0000244140624,3291.0300048828126,3247.3379931640625,3307.893639258154,63.70007307567778,32.66799675764958,-0.008356462950437349,0.3630571905011364,3431.199951171875
2025-06-09,3332.10009765625,3329.8500244140623,3290.8650146484374,3252.77599609375,3310.199016248449,60.840334410422116,30.858102654935006,0.002829068715957783,-0.27537510454119674,3396.39990234375
2025-06-10,3320.89990234375,3332.0300048828126,3295.910009765625,3257.463994140625,3311.2181482575256,54.65807227957229,29.168144793371557,-0.0033613021770798612,0.3530097776738519,3386.60009765625
2025-06-11,3321.300048828125,3334.8,3299.960009765625,3261.433994140625,3312.1783292642494,51.47347316619261,26.28597322228585,0.0001204933891842952,-0.282167023654343,3389.800048828125
2025-06-12,3380.89990234375,3341.17998046875,3309.935009765625,3266.673994140625,3318.7232409861062,59.84878296338713,29.104112804995122,0.01794473628983151,0.06005406769873034,3368.10009765625
2025-06-13,3431.199951171875,3355.4099853515627,3320.460009765625,3272.4999951171876,3329.435308622846,57.88242675656425,34.91084296139866,0.014877710160320134,-0.33362531077475976,3377.699951171875
2025-06-16,3396.39990234375,3357.9899658203126,3331.1800048828127,3278.4879931640626,3335.812888977218,62.18987005709854,37.04617748685024,-0.010142238669664128,-0.264577012746431,3317.39990234375
